Effector;Protein;Shortest_Path;Shared_Connections;Pathways_Shared;Is_Connected;Interaction_Score
NleF;Cycs;2;2;1;False;0.317857
NleF;Nfkb2;2;2;1;False;0.317857
NleF;Ikbkg;2;2;1;False;0.317857
NleF;Nlrp3;2;2;1;False;0.317857
EspG;Rac3;2;2;1;False;0.317857
EspG;Vcl;2;2;1;False;0.317857
EspG;Rac1;2;2;1;False;0.317857
Tir;Nlrp3;2;2;1;False;0.317857
NleD;Rhoa;2;5;0;False;0.307143
NleB;Irf3;2;5;0;False;0.307143
NleE;Traf6;2;5;0;False;0.307143
NleE;Mapk14;2;5;0;False;0.307143
NleL;Rhoa;2;5;0;False;0.307143
NleH;Il1b;3;0;2;False;0.3
NleH;Tlr2;3;0;2;False;0.3
NleH;Il4;3;0;2;False;0.3
NleH;Traf5;3;0;2;False;0.3
NleH;Map3k7;3;0;2;False;0.3
NleH;Mapk9;3;0;2;False;0.3
NleH;Tnfrsf1a;3;0;2;False;0.3
NleH;Il1r1;3;0;2;False;0.3
NleH;Casp4;3;0;2;False;0.3
NleH;Cxcl2;3;0;2;False;0.3
NleH;Tlr4;3;0;2;False;0.3
NleH;Jun;3;0;2;False;0.3
Map;Rab13;3;0;2;False;0.3
Map;Tlr2;3;0;2;False;0.3
Map;Il13;3;0;2;False;0.3
Map;Stat1;3;0;2;False;0.3
Map;Pak4;3;0;2;False;0.3
Map;Il4;3;0;2;False;0.3
Map;Krt18;3;0;2;False;0.3
Map;Fas;3;0;2;False;0.3
Map;Tyk2;3;0;2;False;0.3
Map;Rps3;3;0;2;False;0.3
Map;Traf5;3;0;2;False;0.3
Map;Mapk13;3;0;2;False;0.3
Map;Map3k7;3;0;2;False;0.3
Map;Mapk12;3;0;2;False;0.3
Map;Hax1;3;0;2;False;0.3
Map;Tnfrsf1a;3;0;2;False;0.3
Map;Casp1;3;0;2;False;0.3
Map;Il6;3;0;2;False;0.3
Map;Chuk;3;0;2;False;0.3
Map;Casp4;3;0;2;False;0.3
Map;Cxcl2;3;0;2;False;0.3
Map;Tmbim6;3;0;2;False;0.3
Map;Cxcl1;3;0;2;False;0.3
Map;Traf3ip2;3;0;2;False;0.3
Map;Mapkbp1;3;0;2;False;0.3
Map;Nfkb1;3;0;2;False;0.3
Map;Mapkapk2;3;0;2;False;0.3
Map;Stat2;3;0;2;False;0.3
Map;Pak3;3;0;2;False;0.3
Map;Tlr4;3;0;2;False;0.3
Map;S100a8;3;0;2;False;0.3
Map;Ywhaq;3;0;2;False;0.3
Map;Triap1;3;0;2;False;0.3
Map;S100a9;3;0;2;False;0.3
NleB;Nherf1;3;0;2;False;0.3
NleB;Pak4;3;0;2;False;0.3
NleB;Il4;3;0;2;False;0.3
NleB;Krt18;3;0;2;False;0.3
NleB;Rac2;3;0;2;False;0.3
NleB;Tyk2;3;0;2;False;0.3
NleB;Rps3;3;0;2;False;0.3
NleB;Il5;3;0;2;False;0.3
NleB;Cxcl2;3;0;2;False;0.3
NleB;Tmbim6;3;0;2;False;0.3
NleB;Pak3;3;0;2;False;0.3
EspH;Actn1;3;0;2;False;0.3
EspH;Pak4;3;0;2;False;0.3
EspH;Inppl1;3;0;2;False;0.3
EspJ;Pik3ca;3;0;2;False;0.3
EspJ;Nck1;3;0;2;False;0.3
EspO;Actn1;3;0;2;False;0.3
EspO;Il1b;3;0;2;False;0.3
EspO;Stat1;3;0;2;False;0.3
EspO;Pak4;3;0;2;False;0.3
EspO;Il4;3;0;2;False;0.3
EspO;Krt18;3;0;2;False;0.3
EspO;Rac2;3;0;2;False;0.3
EspO;Tyk2;3;0;2;False;0.3
EspO;Rps3;3;0;2;False;0.3
EspO;Pik3ca;3;0;2;False;0.3
EspO;Il6;3;0;2;False;0.3
EspO;Nck1;3;0;2;False;0.3
EspO;Rhod;3;0;2;False;0.3
NleF;Tlr2;3;0;2;False;0.3
NleF;Il13;3;0;2;False;0.3
NleF;Fas;3;0;2;False;0.3
NleF;Traf5;3;0;2;False;0.3
NleF;Tlr3;3;0;2;False;0.3
NleF;Map3k7;3;0;2;False;0.3
NleF;Mapk9;3;0;2;False;0.3
NleF;Pik3ca;3;0;2;False;0.3
NleF;Tnfrsf1a;3;0;2;False;0.3
NleF;Il1r1;3;0;2;False;0.3
NleF;Cxcl2;3;0;2;False;0.3
NleF;Tlr4;3;0;2;False;0.3
NleF;Jun;3;0;2;False;0.3
EspM;Rab13;3;0;2;False;0.3
EspM;Pak4;3;0;2;False;0.3
EspM;Ikbkb;3;0;2;False;0.3
EspM;Pak3;3;0;2;False;0.3
EspM;Nck1;3;0;2;False;0.3
NleE;Tlr2;3;0;2;False;0.3
NleE;Il13;3;0;2;False;0.3
NleE;Il4;3;0;2;False;0.3
NleE;Fas;3;0;2;False;0.3
NleE;Rps3;3;0;2;False;0.3
NleE;Traf5;3;0;2;False;0.3
NleE;Tlr3;3;0;2;False;0.3
NleE;Pik3ca;3;0;2;False;0.3
NleE;Tnfrsf1a;3;0;2;False;0.3
NleE;Il1r1;3;0;2;False;0.3
NleE;Cxcl2;3;0;2;False;0.3
NleE;Tlr4;3;0;2;False;0.3
NleE;Jun;3;0;2;False;0.3
EspF;Il1b;3;0;2;False;0.3
EspF;Il13;3;0;2;False;0.3
EspF;Stat1;3;0;2;False;0.3
EspF;Slc3a2;3;0;2;False;0.3
EspF;Pak4;3;0;2;False;0.3
EspF;Krt18;3;0;2;False;0.3
EspF;Fas;3;0;2;False;0.3
EspF;Tyk2;3;0;2;False;0.3
EspF;Rps3;3;0;2;False;0.3
EspF;Traf5;3;0;2;False;0.3
EspF;Tlr3;3;0;2;False;0.3
EspF;Mapk8;3;0;2;False;0.3
EspF;Map3k7;3;0;2;False;0.3
EspF;Tnfrsf1a;3;0;2;False;0.3
EspF;Casp1;3;0;2;False;0.3
EspF;Gsdme;3;0;2;False;0.3
EspF;Il6;3;0;2;False;0.3
EspF;Il1r1;3;0;2;False;0.3
EspF;Vcl;3;0;2;False;0.3
EspF;Chuk;3;0;2;False;0.3
EspF;Casp4;3;0;2;False;0.3
EspF;Tmbim6;3;0;2;False;0.3
EspF;Cxcl1;3;0;2;False;0.3
EspF;Traf3ip2;3;0;2;False;0.3
EspF;Mapk10;3;0;2;False;0.3
EspF;Inppl1;3;0;2;False;0.3
EspF;Stat2;3;0;2;False;0.3
EspF;S100a8;3;0;2;False;0.3
EspF;S100a9;3;0;2;False;0.3
NleC;Myd88;2;1;1;False;0.296429
NleC;Chuk;2;1;1;False;0.296429
NleH;Ccl8;2;1;1;False;0.296429
NleH;Cycs;2;1;1;False;0.296429
NleH;Ccl28;2;1;1;False;0.296429
NleH;Casp8;2;1;1;False;0.296429
NleH;Nfkb2;2;1;1;False;0.296429
NleH;Myd88;2;1;1;False;0.296429
NleH;Casp6;2;1;1;False;0.296429
NleH;Cxcl5;2;1;1;False;0.296429
NleH;Il16;2;1;1;False;0.296429
NleH;Cxcl9;2;1;1;False;0.296429
NleH;Casp3;2;1;1;False;0.296429
NleH;Ccl6;2;1;1;False;0.296429
NleH;Casp9;2;1;1;False;0.296429
EspV;Rac3;2;1;1;False;0.296429
EspV;Rac2;2;1;1;False;0.296429
EspV;Cdc42;2;1;1;False;0.296429
EspV;Rhoa;2;1;1;False;0.296429
EspV;Rhog;2;1;1;False;0.296429
EspV;Rhob;2;1;1;False;0.296429
EspV;Rhoh;2;1;1;False;0.296429
EspV;Actr2;2;1;1;False;0.296429
EspV;Rhoc;2;1;1;False;0.296429
EspV;N-WASP;2;1;1;False;0.296429
EspV;Rac1;2;1;1;False;0.296429
EspV;Rhod;2;1;1;False;0.296429
EspT;Actr3;2;1;1;False;0.296429
EspL;Cycs;2;1;1;False;0.296429
EspL;Tlr3;2;1;1;False;0.296429
EspL;Map3k7;2;1;1;False;0.296429
EspL;Hax1;2;1;1;False;0.296429
EspL;Mapkapk2;2;1;1;False;0.296429
EspL;Nlrp3;2;1;1;False;0.296429
EspL;Tlr4;2;1;1;False;0.296429
EspL;Triap1;2;1;1;False;0.296429
EspL;Casp9;2;1;1;False;0.296429
Map;Cycs;2;1;1;False;0.296429
Map;Casp8;2;1;1;False;0.296429
Map;Vcl;2;1;1;False;0.296429
EspK;Ccl8;2;1;1;False;0.296429
EspK;Ccl28;2;1;1;False;0.296429
EspK;Nfkb2;2;1;1;False;0.296429
EspK;Myd88;2;1;1;False;0.296429
EspK;Ikbkg;2;1;1;False;0.296429
EspK;Ikbkb;2;1;1;False;0.296429
EspK;Cxcl5;2;1;1;False;0.296429
EspK;Il16;2;1;1;False;0.296429
EspK;Il6;2;1;1;False;0.296429
EspK;Chuk;2;1;1;False;0.296429
EspK;Cxcl1;2;1;1;False;0.296429
EspK;Cxcl9;2;1;1;False;0.296429
EspK;Nfkb1;2;1;1;False;0.296429
EspK;Ccl6;2;1;1;False;0.296429
NleD;Il1b;2;1;1;False;0.296429
